attribute_id,category_id,active
0,1000000,1
0,1000001,1
0,3000006,1
0,4000729,1
0,5000197,1
0,5000198,1
0,5000199,1
0,5000200,1
0,5000201,1
0,5000202,1
0,5000207,1
0,6000001,1
0,6000175,1
0,9000000,1
0,9000066,1
0,9000100,1
0,9000139,1
0,9000156,1
0,9000159,1
0,9000160,1
0,9000161,1
0,9000162,1
0,9000163,1
0,9000164,1
0,9000165,1
0,9000166,1
0,9000167,1
0,9000168,1
0,9000169,1
0,9000218,1
0,9000233,1
0,9000309,1
0,12900002,1
0,12900003,1
0,12900004,1
0,12900005,1
0,12900006,1
0,12900007,1
0,12900008,1
0,12900009,1
0,12900010,1
0,12900011,1
0,12900012,1
0,12900013,1
0,12900014,1
0,12900015,1
0,12900016,1
0,12900017,1
0,15000024,1
0,16000079,1
0,18000030,1
0,18000051,1
0,20000033,1
0,21000052,1
0,22900030,1
0,22900043,1
0,23900000,1
0,27000000,1
2,1000320,1
2,2000013,1
2,2000017,1
2,2000018,1
2,2000020,1
2,2000027,1
2,2000028,1
2,2000029,1
2,2000030,1
2,2000032,1
2,2000033,1
2,2000034,1
2,2000035,1
2,2000036,1
2,2000037,1
2,2000038,1
2,2000040,1
2,2000041,1
2,2000044,1
2,2000045,1
2,2000049,1
2,2000050,1
2,2000051,1
2,2000052,1
2,2000053,1
2,2000054,1
2,2000055,1
2,2000056,1
2,2000060,1
2,2000061,1
2,2000062,1
2,2000063,1
2,2000064,1
2,2000065,1
2,2000066,1
2,2000067,1
2,2000068,1
2,2000069,1
2,2000071,1
2,2000072,1
2,2000073,1
2,2000074,1
2,2000075,1
2,2000076,1
2,2000077,1
2,2000078,1
2,2000081,1
2,2000084,1
2,2000085,1
2,2000088,1
2,2000094,1
2,2000095,1
2,2000096,1
2,2000097,1
2,2000098,1
2,2000099,1
2,2000101,1
2,2000102,1
2,2000103,1
2,2000104,1
2,2000105,1
2,2000106,1
2,2000107,1
2,2000108,1
2,2000109,1
2,2000110,1
2,2000111,1
2,2000112,1
2,2000113,1
2,2000114,1
2,2000115,1
2,2000116,1
2,2000117,1
2,2000118,1
2,2000119,1
2,2000120,1
2,2000121,1
2,2000122,1
2,2000123,1
2,2000124,1
2,2000125,1
2,2000126,1
2,2000127,1
2,2000128,1
2,2000129,1
2,2000130,1
2,2000131,1
2,2000132,1
2,2000133,1
2,2000134,1
2,2000137,1
2,2000138,1
2,2000139,1
2,2000140,1
2,2000141,1
2,2000142,1
2,2000157,1
2,2000158,1
2,2000159,1
2,2000160,1
2,2000161,1
2,2000162,1
2,2000163,1
2,2000164,1
2,2000165,1
2,2000166,1
2,2900000,1
2,2900001,1
2,2900002,1
2,2900003,1
2,2900004,1
2,2900005,1
2,2900006,1
2,2900007,1
2,2900008,1
2,2900050,1
2,2900051,1
2,2900052,1
2,2900053,1
2,2900054,1
2,2900055,1
2,2900056,1
2,2900057,1
2,2900058,1
2,2900059,1
2,2900060,1
2,2900257,1
2,3000013,1
2,3000015,1
2,3000061,1
2,3000062,1
2,3000063,1
2,3000064,1
2,3000065,1
2,3000066,1
2,3000067,1
2,4000000,1
2,4000001,1
2,4000002,1
2,4000003,1
2,4000004,1
2,4000005,1
2,4000006,1
2,4000007,1
2,4000008,1
2,4000009,1
2,4000010,1
2,4000011,1
2,4000012,1
2,4000013,1
2,4000014,1
2,4000015,1
2,4000016,1
2,4000017,1
2,4000018,1
2,4000019,1
2,4000020,1
2,4000021,1
2,4000022,1
2,4000023,1
2,4000024,1
2,4000025,1
2,4000026,1
2,4000027,1
2,4000028,1
2,4000029,1
2,4000030,1
2,4000031,1
2,4000032,1
2,4000033,1
2,4000034,1
2,4000035,1
2,4000036,1
2,4000037,1
2,4000038,1
2,4000039,1
2,4000040,1
2,4000041,1
2,4000042,1
2,4000043,1
2,4000044,1
2,4000045,1
2,4000046,1
2,4000047,1
2,4000048,1
2,4000049,1
2,4000050,1
2,4000051,1
2,4000052,1
2,4000053,1
2,4000054,1
2,4000055,1
2,4000056,1
2,4000057,1
2,4000058,1
2,4000059,1
2,4000060,1
2,4000061,1
2,4000062,1
2,4000063,1
2,4000064,1
2,4000065,1
2,4000066,1
2,4000067,1
2,4000068,1
2,4000069,1
2,4000070,1
2,4000071,1
2,4000072,1
2,4000073,1
2,4000074,1
2,4000075,1
2,4000076,1
2,4000077,1
2,4000078,1
2,4000079,1
2,4000080,1
2,4000081,1
2,4000082,1
2,4000083,1
2,4000084,1
2,4000085,1
2,4000086,1
2,4000087,1
2,4000088,1
2,4000089,1
