id,Name,Parent_id,active,Level,JetTaxCode
13000076,Grill & Smoker Accessories,13000073,1,2,Generic Taxable Product
13000077,Grill Replacement Parts,13000073,1,2,Generic Taxable Product
13000078,Grills,13000073,1,2,Generic Taxable Product
13000079,Outdoor Fryer Accessories,13000073,1,2,Generic Taxable Product
13000080,Outdoor Kitchens,13000073,1,2,Generic Taxable Product
13000081,Picnic Baskets & Accessories,13000073,1,2,Generic Taxable Product
13000082,Smokers,13000073,1,2,Generic Taxable Product
13000083,Turkey Fryers & Outdoor Cookers,13000073,1,2,Generic Taxable Product
13000084,Home Décor,13000000,1,1,Generic Taxable Product
13000086,Artificial Flora,13000084,1,2,Generic Taxable Product
13000089,Clocks,13000084,1,2,Generic Taxable Product
13000090,Decorative Pillows,13000084,1,2,Generic Taxable Product
13000092,Draft Stoppers,13000084,1,2,Generic Taxable Product
13000095,Gift Baskets,13000084,1,2,Generic Taxable Product
13000098,Indoor Fountains & Accessories,13000084,1,2,Generic Taxable Product
13000100,Mirrors,13000084,1,2,Generic Taxable Product
13000102,Photo Albums & Accessories,13000084,1,2,Generic Taxable Product
13000103,Photo Frames,13000084,1,2,Generic Taxable Product
13000105,Wall Art,13000084,1,2,Generic Taxable Product
13000106,Slipcovers,13000084,1,2,Generic Taxable Product
13000109,Vases,13000084,1,2,Generic Taxable Product
13000110,Weather Instruments,13000084,1,2,Generic Taxable Product
13000111,Curtain Rods & Hardware,13000502,1,2,Generic Taxable Product
13000116,Kids' Bedding,13000384,1,2,Generic Taxable Product
13000119,Kids' Room Décor,13000084,1,2,Generic Taxable Product
13000121,Kitchen & Bath Fixtures,13000000,1,1,Generic Taxable Product
13000122,Bathroom Fixture Accessories,13000121,1,2,Generic Taxable Product
13000123,Bathroom Hardware & Installation,13000121,1,2,Generic Taxable Product
13000124,Bathroom Sink & Bathtub Accessories,13000121,1,2,Generic Taxable Product
13000125,Bathroom Sink Faucets,13000121,1,2,Generic Taxable Product
13000126,Bathroom Sink Vanities & Accessories,13000121,1,2,Generic Taxable Product
13000127,Bathroom Sinks,13000121,1,2,Generic Taxable Product
13000128,Bathtub Faucets & Showerheads,13000121,1,2,Generic Taxable Product
13000129,Bathtubs,13000121,1,2,Generic Taxable Product
13000130,Bidet & Bidet Parts,13000121,1,2,Generic Taxable Product
13000131,Faucet Parts,13000121,1,2,Generic Taxable Product
13000132,Kitchen & Bar Sinks,13000121,1,2,Generic Taxable Product
13000133,Kitchen Faucets,13000121,1,2,Generic Taxable Product
13000134,Kitchen Sink Accessories,13000121,1,2,Generic Taxable Product
13000135,Kitchen Sink Aerators,13000121,1,2,Generic Taxable Product
13000136,Laundry & Utility Faucets,13000121,1,2,Generic Taxable Product
13000137,Laundry & Utility Sinks,13000121,1,2,Generic Taxable Product
13000138,Showers,13000121,1,2,Generic Taxable Product
13000139,Toilet Parts,13000121,1,2,Generic Taxable Product
13000140,Toilets,13000121,1,2,Generic Taxable Product
13000141,Urinals & Urinal Parts,13000121,1,2,Generic Taxable Product
13000142,Valves,13000121,1,2,Generic Taxable Product
13000143,Water Dispensers & Coolers,13000121,1,2,Generic Taxable Product
13000146,Bar Tools,13000504,1,2,Generic Taxable Product
13000149,Glassware & Drinkware,13000504,1,2,Generic Taxable Product
13000150,Home Brewing & Wine Making,13000503,1,2,Generic Taxable Product
13000156,Lighting & Ceiling Fans,13000000,1,1,Generic Taxable Product
13000158,Ceiling Lights & Pendants,13000156,1,2,Generic Taxable Product
13000159,Commercial Lighting,13000156,1,2,Generic Taxable Product
13000161,Lighting Accessories,13000156,1,2,Generic Taxable Product
13000162,Novelty Lighting,13000156,1,2,Generic Taxable Product
13000163,Outdoor Lighting,13000156,1,2,Generic Taxable Product
13000164,Wall Lights,13000156,1,2,Generic Taxable Product
13000165,Outdoor Décor,13000000,1,1,Generic Taxable Product
13000166,Address Numbers & Plaques,13000165,1,2,Generic Taxable Product
13000172,Wind Chimes & Spinners,13000165,1,2,Generic Taxable Product
13000173,Chimineas,13000508,1,2,Generic Taxable Product
13000174,Cupolas & Accessories,13000165,1,2,Generic Taxable Product
13000176,Decorative Fences,13000165,1,2,Generic Taxable Product
13000178,Fire Pits & Bowls,13000508,1,2,Generic Taxable Product
13000179,Flagpole Hardware,13000165,1,2,Generic Taxable Product
13000180,Flags,13000165,1,2,Generic Taxable Product
13000181,Fountain Accessories,13000165,1,2,Generic Taxable Product
13000182,Fountains,13000165,1,2,Generic Taxable Product
13000183,Garden Sculptures & Statues,13000165,1,2,Generic Taxable Product
